DistrictId,DistrictName,BlockId,BlockName,SampleNo,SoilPh,ElectricalConductivity,OrganicCarbon,Nitrogen,Phosphorous,Potassium,Sulphur,Zinc,Iron,Magnesium
81,BHIWANI,454,Bawani Khera,HR6086841/2016-17/11336370,7.4,0.51,0.4,32.17,53.28,4.53,0.22,0,1.18,0.82
81,BHIWANI,454,Bawani Khera,HR61114/2016-17/13513223,6.74,0.78,0.4,152,54.12,3.12,2.51,0.06,5.44,1.01
81,BHIWANI,454,Bawani Khera,HR61114/2016-17/13811552,7.8,0.11,0.4,125.3,125.3,52.8,1.24,1.76,1.56,1.96
81,BHIWANI,454,Bawani Khera,HR61114/2016-17/14025035,7.3,0.16,0.39,275.2,98.6,8.02,3.29,0.15,20.99,0.67
81,BHIWANI,454,Bawani Khera,HR61114/2016-17/23187010,7.3,0.65,0.33,137.2,52.9,59.16,2.73,0.49,7.07,0.65
81,BHIWANI,454,Bawani Khera,HR61116/2016-17/13205856,7.9,1.19,0.34,206.7,44.2,21.79,2.17,0.2,11.97,1.51
81,BHIWANI,454,Bawani Khera,HR61116/2016-17/13222707,7.7,0.71,0.37,109.4,109.4,59.27,36.23,2.4,3.4,11.8
81,BHIWANI,454,Bawani Khera,HR61118/2016-17/19675896,7,0.44,0.43,7.97,63.29,1.07,1.64,0.11,1.1,11.42
81,BHIWANI,454,Bawani Khera,HR61120/2016-17/5199131,7.1,1.3,0.46,8.63,289.5,11.23,1.13,10.95,9.01,1.73
81,BHIWANI,454,Bawani Khera,HR61121/2016-17/10290141,7.48,0.8,0.43,178.7,52.25,5.9,2.11,0.07,2.62,1.07
81,BHIWANI,454,Bawani Khera,HR61129/2016-17/6574100,7.5,1.9,0.4,54.36,54.36,114.8,15.26,1.08,8.55,11.89
81,BHIWANI,454,Bawani Khera,HR913062/2016-17/10772800,7.19,0.78,0.31,59.93,245,15.57,0.39,0.02,2.35,0.51
81,BHIWANI,454,Bawani Khera,HR913062/2016-17/10795223,7.13,0.78,0.25,59.59,214,15.21,0.46,0.03,2.55,0.4
88,FARIDABAD,463,Ballabgarh,HR63493/2016-17/8733910,9,0.85,0.19,64.19,10.63,370.65,57,0.8,6.71,3.97
88,FARIDABAD,463,Ballabgarh,HR63497/2016-17/3240728,7.8,0.62,0.36,110.88,11.12,410.19,49.2,0.83,14.55,2.41
88,FARIDABAD,463,Ballabgarh,HR63497/2016-17/3240877,8.1,0.58,0.27,86.16,12.11,390.42,40.5,0.78,7.51,2.29
88,FARIDABAD,463,Ballabgarh,HR63497/2016-17/3240986,8.3,0.61,0.24,77.92,12.6,375.59,41.4,0.82,8.09,2.23
88,FARIDABAD,463,Ballabgarh,HR63497/2016-17/3241112,8.4,0.35,0.25,80.67,13.84,420.07,42,0.76,8.94,5.03
88,FARIDABAD,463,Ballabgarh,HR63497/2016-17/3241221,8.1,0.32,0.31,97.14,14.08,390.42,51,0.77,15.42,11.54
88,FARIDABAD,463,Ballabgarh,HR63497/2016-17/3241353,8.4,0.45,0.36,110.88,11.61,380.53,54,0.82,4.59,6.52
88,FARIDABAD,463,Ballabgarh,HR63497/2016-17/3241481,7.9,0.63,0.24,77.92,11.86,385.48,48,0.77,19.03,3.23
88,FARIDABAD,463,Ballabgarh,HR63497/2016-17/3241593,8.2,0.51,0.18,61.44,12.85,410.19,41.1,0.79,6.51,2.23
88,FARIDABAD,463,Ballabgarh,HR63497/2016-17/3241679,7.9,0.62,0.27,86.16,13.34,434.9,37.2,0.74,12.19,4.05
88,FARIDABAD,463,Ballabgarh,HR63497/2016-17/3241766,8.1,0.7,0.22,72.43,14.08,420.07,41.4,0.71,6.84,4.64
88,FARIDABAD,463,Ballabgarh,HR63500/2016-17/12318005,7.4,3.3,0.21,69.68,11.12,311.35,39.9,0.8,9.21,2.3
88,FARIDABAD,463,Ballabgarh,HR63500/2016-17/12318241,7.6,2.9,0.22,72.43,12.6,375.59,30,1.47,14.78,2.3
88,FARIDABAD,463,Ballabgarh,HR63500/2016-17/12318449,7.8,3.16,0.16,55.95,9.88,271.81,34.5,2.8,9.21,3.5
88,FARIDABAD,463,Ballabgarh,HR63500/2016-17/12318665,7.5,2.93,0.27,86.16,14.08,385.48,37.5,2.14,14.78,2.3
